entity_name,date,posts_in_day,cumulative_posts
tomio-okamura,2021-05-11,2,199
hana-aulicka-jirovcova,2021-05-10,1,15
tomio-okamura,2021-05-10,2,197
andrej-babis,2021-05-09,3,87
tomio-okamura,2021-05-09,1,195
tomio-okamura,2021-05-08,3,194
tomio-okamura,2021-05-07,5,191
karel-havlicek-3,2021-05-06,1,22
tomio-okamura,2021-05-06,3,186
tomio-okamura,2021-05-05,1,183
tomio-okamura,2021-05-04,1,182
andrej-babis,2021-05-03,1,84
ludek-niedermayer,2021-05-03,1,8
tomio-okamura,2021-05-03,2,181
andrej-babis,2021-05-02,3,83
tomio-okamura,2021-05-01,1,179
ludek-niedermayer,2021-04-30,1,7
tomio-okamura,2021-04-30,3,178
karel-havlicek-3,2021-04-29,1,21
tomio-okamura,2021-04-29,1,175
tomio-okamura,2021-04-28,1,174
andrej-babis,2021-04-27,2,80
tomio-okamura,2021-04-27,2,173
andrej-babis,2021-04-26,2,78
karel-havlicek-3,2021-04-26,1,20
tomio-okamura,2021-04-26,1,171
andrej-babis,2021-04-25,3,76
tomio-okamura,2021-04-25,1,170
tomio-okamura,2021-04-24,1,169
karel-havlicek-3,2021-04-23,2,19
ludek-niedermayer,2021-04-23,1,6
tomio-okamura,2021-04-23,2,168
tomio-okamura,2021-04-22,3,166
petr-fiala,2021-04-21,3,27
tomio-okamura,2021-04-21,2,163
tomio-okamura,2021-04-20,1,161
tomio-okamura,2021-04-19,2,160
andrej-babis,2021-04-18,4,73
tomio-okamura,2021-04-18,2,158
tomio-okamura,2021-04-17,2,156
andrej-babis,2021-04-16,1,69
andrej-babis,2021-04-15,1,68
hana-aulicka-jirovcova,2021-04-15,3,14
karel-havlicek-3,2021-04-15,1,17
tomio-okamura,2021-04-15,4,154
tomio-okamura,2021-04-14,3,150
tomio-okamura,2021-04-13,2,147
petr-fiala,2021-04-12,1,24
tomio-okamura,2021-04-12,4,145
andrej-babis,2021-04-11,1,67
andrej-babis,2021-04-09,1,66
tomio-okamura,2021-04-09,1,141
andrej-babis,2021-04-08,3,65
karel-havlicek-3,2021-04-08,1,16
tomio-okamura,2021-04-08,1,140
andrej-babis,2021-04-07,2,62
petr-fiala,2021-04-07,1,23
tomio-okamura,2021-04-07,4,139
andrej-babis,2021-04-06,1,60
tomio-okamura,2021-04-06,5,135
tomio-okamura,2021-04-02,3,130
andrej-babis,2021-04-01,2,59
karel-havlicek-3,2021-04-01,1,15
tomio-okamura,2021-04-01,2,127
andrej-babis,2021-03-31,1,57
petr-fiala,2021-03-31,1,22
tomio-okamura,2021-03-31,1,125
andrej-babis,2021-03-30,5,56
karel-havlicek-3,2021-03-30,1,14
ludek-niedermayer,2021-03-30,1,5
tomio-okamura,2021-03-29,3,124
andrej-babis,2021-03-28,5,51
tomio-okamura,2021-03-28,1,121
petr-fiala,2021-03-26,1,21
tomio-okamura,2021-03-26,4,120
hana-aulicka-jirovcova,2021-03-25,1,11
karel-havlicek-3,2021-03-25,1,13
hana-aulicka-jirovcova,2021-03-24,1,10
ludek-niedermayer,2021-03-24,2,4
petr-fiala,2021-03-24,2,20
tomio-okamura,2021-03-24,2,116
tomio-okamura,2021-03-23,4,114
tomio-okamura,2021-03-22,1,110
andrej-babis,2021-03-21,3,46
hana-aulicka-jirovcova,2021-03-21,1,9
petr-fiala,2021-03-20,1,18
karel-havlicek-3,2021-03-19,1,12
tomio-okamura,2021-03-19,2,109
andrej-babis,2021-03-18,1,43
tomio-okamura,2021-03-18,2,107
andrej-babis,2021-03-17,1,42
petr-fiala,2021-03-16,7,17
andrej-babis,2021-03-15,1,41
tomio-okamura,2021-03-15,2,105
zdenek-hrib,2021-03-15,1,1
andrej-babis,2021-03-14,3,40
andrej-babis,2021-03-13,2,37
andrej-babis,2021-03-12,3,35
petr-fiala,2021-03-12,1,10
tomio-okamura,2021-03-12,1,103
karel-havlicek-3,2021-03-11,1,11
tomio-okamura,2021-03-11,1,102
andrej-babis,2021-03-10,2,32
hana-aulicka-jirovcova,2021-03-10,1,8
tomio-okamura,2021-03-10,3,101
hana-aulicka-jirovcova,2021-03-09,1,7
ludek-niedermayer,2021-03-09,2,2
tomio-okamura,2021-03-09,5,98
andrej-babis,2021-03-08,1,30
tomio-okamura,2021-03-08,3,93
andrej-babis,2021-03-07,1,29
tomio-okamura,2021-03-07,1,90
tomio-okamura,2021-03-06,1,89
tomio-okamura,2021-03-05,1,88
karel-havlicek-3,2021-03-04,1,10
tomio-okamura,2021-03-04,1,87
hana-aulicka-jirovcova,2021-03-03,1,6
tomio-okamura,2021-03-03,1,86
tomio-okamura,2021-03-02,5,85
tomio-okamura,2021-03-01,1,80
andrej-babis,2021-02-28,1,28
tomio-okamura,2021-02-28,1,79
hana-aulicka-jirovcova,2021-02-27,1,5
tomio-okamura,2021-02-27,2,78
karel-havlicek-3,2021-02-26,1,9
tomio-okamura,2021-02-26,3,76
tomio-okamura,2021-02-25,1,73
tomio-okamura,2021-02-24,4,72
tomio-okamura,2021-02-23,1,68
tomio-okamura,2021-02-22,2,67
andrej-babis,2021-02-21,1,27
tomio-okamura,2021-02-19,3,65
andrej-babis,2021-02-18,1,26
karel-havlicek-3,2021-02-18,1,8
tomio-okamura,2021-02-18,6,62
jan-grolich-1,2021-02-17,1,1
tomio-okamura,2021-02-17,1,56
tomio-okamura,2021-02-16,3,55
tomio-okamura,2021-02-15,1,52
andrej-babis,2021-02-14,2,25
tomio-okamura,2021-02-14,1,51
hana-aulicka-jirovcova,2021-02-13,1,4
tomio-okamura,2021-02-13,1,50
tomio-okamura,2021-02-12,3,49
andrej-babis,2021-02-11,1,23
karel-havlicek-3,2021-02-11,1,7
tomio-okamura,2021-02-11,2,46
tomio-okamura,2021-02-10,3,44
tomio-okamura,2021-02-09,2,41
tomio-okamura,2021-02-08,1,39
andrej-babis,2021-02-07,1,22
andrej-babis,2021-02-05,1,21
petr-fiala,2021-02-05,2,9
tomio-okamura,2021-02-05,2,38
andrej-babis,2021-02-04,1,20
karel-havlicek-3,2021-02-04,1,6
tomio-okamura,2021-02-04,3,36
andrej-babis,2021-02-03,1,19
tomio-okamura,2021-02-03,2,33
andrej-babis,2021-02-02,2,18
petr-fiala,2021-02-02,5,7
andrej-babis,2021-02-01,2,16
tomio-okamura,2021-02-01,1,31
andrej-babis,2021-01-31,2,14
tomio-okamura,2021-01-31,1,30
tomio-okamura,2021-01-30,1,29
karel-havlicek-3,2021-01-29,1,5
tomio-okamura,2021-01-29,4,28
hana-aulicka-jirovcova,2021-01-28,2,3
petr-fiala,2021-01-28,1,2
tomio-okamura,2021-01-28,1,24
tomio-okamura,2021-01-26,1,23
andrej-babis,2021-01-24,1,12
tomio-okamura,2021-01-24,1,22
tomio-okamura,2021-01-23,1,21
tomio-okamura,2021-01-22,1,20
andrej-babis,2021-01-21,1,11
hana-aulicka-jirovcova,2021-01-21,1,1
karel-havlicek-3,2021-01-21,1,4
tomio-okamura,2021-01-21,1,19
karel-havlicek-3,2021-01-20,1,3
tomio-okamura,2021-01-20,3,18
tomio-okamura,2021-01-19,3,15
tomio-okamura,2021-01-18,1,12
andrej-babis,2021-01-17,1,10
petr-fiala,2021-01-17,1,1
tomio-okamura,2021-01-15,3,11
andrej-babis,2021-01-14,2,9
karel-havlicek-3,2021-01-14,1,2
tomio-okamura,2021-01-13,1,8
andrej-babis,2021-01-12,2,7
andrej-babis,2021-01-11,2,5
tomio-okamura,2021-01-11,1,7
andrej-babis,2021-01-10,1,3
tomio-okamura,2021-01-09,2,6
tomio-okamura,2021-01-08,1,4
karel-havlicek-3,2021-01-07,1,1
tomio-okamura,2021-01-07,1,3
tomio-okamura,2021-01-04,2,2
andrej-babis,2021-01-03,1,2
andrej-babis,2021-01-02,1,1
