entity_name,total_posts
tomio-okamura,358
andrej-babis,213
petr-fiala,81
karel-havlicek-3,52
hana-aulicka-jirovcova,22
ludek-niedermayer,12
jan-grolich-1,2
zdenek-hrib,1
