entity_name,date,posts_in_day,interactions_in_day,cumulative_posts,cumulative_interactions_thousands
vojtafilip,2021-02-15,1,54,21,1.5
alenaschillerov,2021-02-14,2,398,171,10.2
AndrejBabis,2021-02-14,2,473,91,16.3
jhamacek,2021-02-14,13,947,100,14.6
tomio_cz,2021-02-14,5,338,177,8.7
Vit_Rakusan,2021-02-14,2,4559,40,29.4
vojtafilip,2021-02-14,2,188,20,1.5
AndrejBabis,2021-02-13,3,563,89,15.8
jhamacek,2021-02-13,4,61,87,13.6
tomio_cz,2021-02-13,8,287,172,8.3
alenaschillerov,2021-02-12,5,488,169,9.8
AndrejBabis,2021-02-12,2,211,86,15.3
jhamacek,2021-02-12,9,978,83,13.6
KarelHavlicek_,2021-02-12,1,53,92,4.3
tomio_cz,2021-02-12,7,250,164,8
Vit_Rakusan,2021-02-12,1,677,38,24.9
alenaschillerov,2021-02-11,6,696,164,9.3
AndrejBabis,2021-02-11,1,1011,84,15.1
jhamacek,2021-02-11,5,1528,74,12.6
KarelHavlicek_,2021-02-11,2,89,91,4.3
tomio_cz,2021-02-11,2,75,157,7.8
alenaschillerov,2021-02-10,3,101,158,8.6
AndrejBabis,2021-02-10,3,268,83,14.1
jhamacek,2021-02-10,3,401,69,11.1
KarelHavlicek_,2021-02-10,1,25,89,4.2
tomio_cz,2021-02-10,3,31,155,7.7
Vit_Rakusan,2021-02-10,1,906,37,24.2
vojtafilip,2021-02-10,2,171,18,1.3
alenaschillerov,2021-02-09,7,2319,155,8.5
jhamacek,2021-02-09,5,104,66,10.7
KarelHavlicek_,2021-02-09,7,235,88,4.2
tomio_cz,2021-02-09,8,257,152,7.7
Vit_Rakusan,2021-02-09,2,887,36,23.3
alenaschillerov,2021-02-08,7,261,148,6.2
AndrejBabis,2021-02-08,1,201,80,13.8
jhamacek,2021-02-08,3,77,61,10.6
KarelHavlicek_,2021-02-08,5,141,81,3.9
tomio_cz,2021-02-08,2,144,144,7.4
Vit_Rakusan,2021-02-08,3,1100,34,22.4
AndrejBabis,2021-02-07,2,428,79,13.6
tomio_cz,2021-02-07,2,104,142,7.3
Vit_Rakusan,2021-02-07,2,2463,31,21.3
alenaschillerov,2021-02-06,6,586,141,5.9
jhamacek,2021-02-06,2,13,58,10.5
KarelHavlicek_,2021-02-06,1,496,76,3.8
tomio_cz,2021-02-06,4,309,140,7.2
alenaschillerov,2021-02-05,4,244,135,5.3
AndrejBabis,2021-02-05,3,690,77,13.2
jhamacek,2021-02-05,2,742,56,10.5
KarelHavlicek_,2021-02-05,6,161,75,3.3
tomio_cz,2021-02-05,5,244,136,6.9
Vit_Rakusan,2021-02-05,3,1202,29,18.9
alenaschillerov,2021-02-04,3,127,131,5.1
AndrejBabis,2021-02-04,4,202,74,12.5
jhamacek,2021-02-04,1,48,54,9.7
KarelHavlicek_,2021-02-04,5,216,69,3.1
tomio_cz,2021-02-04,9,371,131,6.6
Vit_Rakusan,2021-02-04,1,2410,26,17.6
alenaschillerov,2021-02-03,7,124,128,5
AndrejBabis,2021-02-03,2,575,70,12.3
jhamacek,2021-02-03,1,281,53,9.7
KarelHavlicek_,2021-02-03,1,30,64,2.9
tomio_cz,2021-02-03,5,62,122,6.2
Vit_Rakusan,2021-02-03,5,5794,25,15.2
alenaschillerov,2021-02-02,8,212,121,4.8
AndrejBabis,2021-02-02,2,257,68,11.7
KarelHavlicek_,2021-02-02,2,71,63,2.9
tomio_cz,2021-02-02,1,68,117,6.2
Vit_Rakusan,2021-02-02,1,639,20,9.4
vojtafilip,2021-02-02,1,88,16,1.1
alenaschillerov,2021-02-01,9,291,113,4.6
AndrejBabis,2021-02-01,2,473,66,11.4
jhamacek,2021-02-01,1,19,52,9.4
tomio_cz,2021-02-01,4,229,116,6.1
alenaschillerov,2021-01-31,1,34,104,4.3
AndrejBabis,2021-01-31,3,1046,64,11
jhamacek,2021-01-31,1,61,51,9.4
tomio_cz,2021-01-31,9,691,112,5.9
alenaschillerov,2021-01-30,3,69,103,4.3
jhamacek,2021-01-30,1,109,50,9.3
KarelHavlicek_,2021-01-30,4,156,61,2.8
tomio_cz,2021-01-30,2,38,103,5.2
alenaschillerov,2021-01-29,1,8,100,4.2
KarelHavlicek_,2021-01-29,3,116,57,2.7
tomio_cz,2021-01-29,5,205,101,5.2
Vit_Rakusan,2021-01-29,1,836,19,8.8
vojtafilip,2021-01-29,2,164,15,1
alenaschillerov,2021-01-28,4,96,99,4.2
AndrejBabis,2021-01-28,1,329,61,9.9
jhamacek,2021-01-28,1,51,49,9.2
KarelHavlicek_,2021-01-28,3,80,54,2.6
tomio_cz,2021-01-28,1,190,96,5
alenaschillerov,2021-01-27,6,137,95,4.1
AndrejBabis,2021-01-27,2,231,60,9.6
jhamacek,2021-01-27,8,2379,48,9.2
tomio_cz,2021-01-27,2,213,95,4.8
Vit_Rakusan,2021-01-27,1,128,18,8
vojtafilip,2021-01-27,2,94,13,0.9
alenaschillerov,2021-01-26,4,279,89,4
AndrejBabis,2021-01-26,3,100,58,9.4
jhamacek,2021-01-26,2,179,40,6.8
KarelHavlicek_,2021-01-26,1,43,51,2.5
tomio_cz,2021-01-26,4,111,93,4.6
alenaschillerov,2021-01-25,2,53,85,3.7
AndrejBabis,2021-01-25,4,476,55,9.3
jhamacek,2021-01-25,1,499,38,6.6
KarelHavlicek_,2021-01-25,2,644,50,2.4
Vit_Rakusan,2021-01-25,2,1029,17,7.8
vojtafilip,2021-01-25,3,61,11,0.8
alenaschillerov,2021-01-24,4,147,83,3.7
AndrejBabis,2021-01-24,3,502,51,8.8
jhamacek,2021-01-24,1,117,37,6.1
KarelHavlicek_,2021-01-24,2,77,48,1.8
tomio_cz,2021-01-24,5,229,89,4.4
alenaschillerov,2021-01-23,2,77,79,3.5
jhamacek,2021-01-23,1,47,36,6
KarelHavlicek_,2021-01-23,2,89,46,1.7
tomio_cz,2021-01-23,14,351,84,4.2
alenaschillerov,2021-01-22,6,258,77,3.4
AndrejBabis,2021-01-22,1,83,48,8.3
jhamacek,2021-01-22,19,498,35,6
KarelHavlicek_,2021-01-22,2,65,44,1.6
tomio_cz,2021-01-22,1,9,70,3.9
alenaschillerov,2021-01-21,1,26,71,3.2
AndrejBabis,2021-01-21,2,568,47,8.2
jhamacek,2021-01-21,6,2765,16,5.5
KarelHavlicek_,2021-01-21,1,18,42,1.6
tomio_cz,2021-01-21,2,156,69,3.9
Vit_Rakusan,2021-01-21,2,1084,15,6.8
alenaschillerov,2021-01-20,7,289,70,3.2
AndrejBabis,2021-01-20,5,548,45,7.6
jhamacek,2021-01-20,2,188,10,2.7
KarelHavlicek_,2021-01-20,7,224,41,1.5
tomio_cz,2021-01-20,7,235,67,3.7
alenaschillerov,2021-01-19,4,134,63,2.9
AndrejBabis,2021-01-19,2,159,40,7.1
jhamacek,2021-01-19,2,1512,8,2.5
KarelHavlicek_,2021-01-19,5,162,34,1.3
tomio_cz,2021-01-19,2,26,60,3.5
vojtafilip,2021-01-19,1,45,8,0.7
alenaschillerov,2021-01-18,4,171,59,2.7
AndrejBabis,2021-01-18,4,356,38,6.9
KarelHavlicek_,2021-01-18,4,150,29,1.2
tomio_cz,2021-01-18,5,322,58,3.4
alenaschillerov,2021-01-17,3,213,55,2.6
AndrejBabis,2021-01-17,3,944,34,6.6
jhamacek,2021-01-17,2,102,6,1
KarelHavlicek_,2021-01-17,2,16,25,1
tomio_cz,2021-01-17,3,227,53,3.1
vojtafilip,2021-01-17,1,172,7,0.7
alenaschillerov,2021-01-16,1,244,52,2.3
AndrejBabis,2021-01-16,1,267,31,5.6
KarelHavlicek_,2021-01-16,1,50,23,1
tomio_cz,2021-01-16,4,277,50,2.9
Vit_Rakusan,2021-01-16,2,56,13,5.7
alenaschillerov,2021-01-15,5,149,51,2.1
AndrejBabis,2021-01-15,3,436,30,5.4
KarelHavlicek_,2021-01-15,4,126,22,0.9
tomio_cz,2021-01-15,5,159,46,2.6
Vit_Rakusan,2021-01-15,2,638,11,5.7
alenaschillerov,2021-01-14,2,61,46,2
AndrejBabis,2021-01-14,3,428,27,4.9
tomio_cz,2021-01-14,3,3,41,2.5
Vit_Rakusan,2021-01-14,1,358,9,5
alenaschillerov,2021-01-13,2,83,44,1.9
AndrejBabis,2021-01-13,6,386,24,4.5
jhamacek,2021-01-13,1,85,4,0.9
tomio_cz,2021-01-13,6,232,38,2.4
Vit_Rakusan,2021-01-13,2,796,8,4.7
alenaschillerov,2021-01-12,4,115,42,1.8
AndrejBabis,2021-01-12,2,342,18,4.1
KarelHavlicek_,2021-01-12,4,129,18,0.8
tomio_cz,2021-01-12,2,157,32,2.2
Vit_Rakusan,2021-01-12,1,1053,6,3.9
alenaschillerov,2021-01-11,6,226,38,1.7
KarelHavlicek_,2021-01-11,1,59,14,0.7
tomio_cz,2021-01-11,4,282,30,2.1
vojtafilip,2021-01-11,2,65,6,0.5
alenaschillerov,2021-01-10,3,261,32,1.5
AndrejBabis,2021-01-10,2,390,16,3.8
KarelHavlicek_,2021-01-10,1,178,13,0.6
tomio_cz,2021-01-10,1,1,26,1.8
alenaschillerov,2021-01-09,1,27,29,1.2
AndrejBabis,2021-01-09,1,64,14,3.4
jhamacek,2021-01-09,1,209,3,0.8
tomio_cz,2021-01-09,3,131,25,1.8
vojtafilip,2021-01-09,1,155,4,0.4
alenaschillerov,2021-01-08,4,149,28,1.2
KarelHavlicek_,2021-01-08,3,45,12,0.4
tomio_cz,2021-01-08,2,104,22,1.6
alenaschillerov,2021-01-07,5,178,24,1
AndrejBabis,2021-01-07,7,2038,13,3.3
jhamacek,2021-01-07,1,132,2,0.6
tomio_cz,2021-01-07,5,321,20,1.5
Vit_Rakusan,2021-01-07,2,473,5,2.8
alenaschillerov,2021-01-06,3,79,19,0.9
jhamacek,2021-01-06,1,462,1,0.5
KarelHavlicek_,2021-01-06,3,140,9,0.4
tomio_cz,2021-01-06,2,145,15,1.2
Vit_Rakusan,2021-01-06,1,469,3,2.4
vojtafilip,2021-01-06,1,21,3,0.3
alenaschillerov,2021-01-05,7,327,16,0.8
KarelHavlicek_,2021-01-05,3,113,6,0.3
tomio_cz,2021-01-05,3,287,13,1.1
alenaschillerov,2021-01-04,2,91,9,0.4
KarelHavlicek_,2021-01-04,3,145,3,0.1
tomio_cz,2021-01-04,4,273,10,0.8
vojtafilip,2021-01-04,1,19,2,0.3
alenaschillerov,2021-01-03,2,74,7,0.4
AndrejBabis,2021-01-03,2,314,6,1.3
tomio_cz,2021-01-03,3,280,6,0.5
Vit_Rakusan,2021-01-03,1,1509,2,1.9
vojtafilip,2021-01-03,1,242,1,0.2
alenaschillerov,2021-01-02,1,68,5,0.3
AndrejBabis,2021-01-02,3,625,4,1
alenaschillerov,2021-01-01,4,216,4,0.2
AndrejBabis,2021-01-01,1,333,1,0.3
tomio_cz,2021-01-01,3,234,3,0.2
Vit_Rakusan,2021-01-01,1,378,1,0.4
